,paperid,citedbypapers,citedbypatents
112,2144369278,3,0
113,2051578032,5,0
114,1597097095,1,0
115,2083357144,1,0
116,1607768087,1,0
117,1949248926,1,0
118,2159320592,2,0
119,2159203809,1,0
120,2109633752,1,0
121,2141331150,1,0
122,2050820470,1,0
123,1531908566,1,0
124,2129757603,1,0
125,182856779,1,0
126,2100506586,1,0
127,2023754107,8,0
128,2160517719,1,0
129,1901026176,1,0
130,2077807213,1,0
131,2544629926,1,0
132,1990288590,20,2
133,2551324766,1,0
134,1995642903,1,0
135,2026763177,1,0
136,2172000360,4,0
137,2149992361,1,0
138,2067481044,4,0
139,2155952367,1,0
140,2147043341,1,0
141,2156860647,1,0
142,2144251624,1,0
143,2691089544,1,0
144,2148773832,1,0
145,2131970275,1,0
146,2003594245,5,1
147,2036339971,2,0
148,2893941556,1,0
149,2149877754,1,0
150,1987543638,1,0
151,2182076777,1,0
152,1594302638,1,0
153,2051300824,13,0
154,2015670038,1,0
155,2082887390,1,0
156,1757647588,2,0
157,2040180797,1,0
158,2138808125,3,0
159,2133911634,1,0
160,2026350701,1,0
161,192527851,1,0
162,1992078870,1,0
163,1979261109,1,0
164,2156051393,1,0
165,2039937234,1,0
166,2000343728,1,0
167,2144723175,1,0
168,2102124817,1,0
169,2496230793,1,0
170,2170560516,1,0
171,2167978925,1,0
172,2013168176,1,0
173,2170342776,1,0
174,2611028116,1,0
175,2111996486,2,0
176,2149092581,1,0
177,1512246197,2,0
178,1598226199,1,0
179,2512190152,1,0
180,2118930213,1,0
181,2113856781,1,0
182,1608646296,1,0
183,1593036741,1,0
184,2109820865,1,0
185,2084804986,1,0
186,2048023277,1,0
187,94753546,1,0
188,2084931035,2,0
189,2148128296,1,0
190,2255292656,1,0
191,2166494675,1,0
192,144600073,1,0
193,2067111100,1,0
194,1997810707,1,0
195,2016799356,1,0
196,2127694055,1,0
197,2063748437,4,0
198,1808874909,1,0
199,54893867,1,0
200,2101800210,1,0
201,2011484386,2,0
202,2129911440,1,0
203,2115068883,1,0
204,2146697949,1,0
205,1975917757,1,0
206,2113830728,1,0
207,1489089539,1,0
208,1925154005,1,0
209,2069722730,1,0
210,1590475114,2,0
211,2066695155,2,0
212,2081274845,1,0
213,78496981,1,0
214,1037361567,1,0
215,2098667370,1,0
216,2015879273,3,0
217,2126409482,1,0
218,203342046,1,0
219,1703011138,1,0
220,2336688710,1,0
221,1992138757,1,0
222,2295359458,1,0
223,1989960570,1,0
224,1994203071,1,0
225,2124499398,1,0
226,2294753915,1,0
