,mag_id,venue
189,2158523638,CHI
190,2158525073,CHI
191,2158539604,CHI
192,2158541982,CHI
193,2158654373,CHI
194,2158654851,CHI
195,2158665660,CHI
196,2158668490,CHI
197,2158704040,CHI
198,2158750417,CHI
199,2158757185,CHI
200,2158847891,CHI
201,2158853398,CHI
202,2158873581,CHI
203,2158878127,CHI
204,2158882008,CHI
205,2158892938,CHI
206,2158929368,CHI
207,2158930584,CHI
208,2158930783,CHI
209,2158959881,CHI
210,2158967736,CHI
211,2159001017,CHI
212,2159034853,CHI
213,2159048414,CHI
214,2159049592,CHI
215,2159051079,CHI
216,2159099779,CHI
217,2159113477,CHI
218,2159241535,CHI
219,2159241889,CHI
220,2159247125,CHI
221,2159262688,CHI
222,2159263269,CHI
223,2159332488,CHI
224,2159361351,CHI
225,2159423430,CHI
226,2159438348,CHI
227,2159456281,CHI
228,2159486352,CHI
229,2159502826,CHI
230,2159513729,CHI
231,2159514065,CHI
232,2159536175,CHI
233,2159547148,CHI
234,2159672765,CHI
235,2159706207,CHI
236,2159710437,CHI
237,2159730225,CHI
238,2159741202,CHI
239,2159792176,CHI
240,2159837114,CHI
241,2159852449,CHI
242,2159913532,CHI
243,2159918880,CHI
244,2159923775,CHI
245,2159981190,CHI
246,2160043433,CHI
247,2160046057,CHI
248,2160046323,CHI
249,2160049071,CHI
250,2160056280,CHI
251,2160098390,CHI
252,2160121516,CHI
253,2160126420,CHI
254,2160135951,CHI
255,2160180108,CHI
256,2432261168,CHI
257,2068900583,CHI
258,2067027018,CHI
259,2011350558,CHI
260,2067034854,CHI
261,2068913112,CHI
262,2068926364,CHI
263,2011369055,CHI
264,2067061116,CHI
265,2067081005,CHI
266,2067091994,CHI
267,2067093315,CHI
268,2067093318,CHI
269,2011411291,CHI
270,2067099322,CHI
271,2068974416,CHI
272,2011422734,CHI
273,2068985162,CHI
274,2011429036,CHI
275,2011433150,CHI
276,2011442434,CHI
277,2067128073,CHI
278,2011453344,CHI
279,2069013586,CHI
280,2067141523,CHI
281,2067166260,CHI
282,2011492755,CHI
283,2067177358,CHI
284,2067178114,CHI
285,2067184204,CHI
286,2011506639,CHI
287,2067206652,CHI
288,2011526384,CHI
289,2067211264,CHI
290,2011531676,CHI
291,2069090625,CHI
292,2069091827,CHI
293,2069103342,CHI
294,2069106458,CHI
295,2069108338,CHI
296,2011553671,CHI
297,2011561069,CHI
298,2069119678,CHI
299,2011562461,CHI
300,2011583832,CHI
301,2011588047,CHI
302,2069148240,CHI
303,2067285359,CHI
304,2067297624,CHI
305,2067302566,CHI
306,2069176986,CHI
307,2067310449,CHI
308,2067316939,CHI
309,2067319050,CHI
310,2067319386,CHI
311,2069194751,CHI
312,2067329295,CHI
313,2067336316,CHI
314,2011650305,CHI
315,2011656549,CHI
316,2067344455,CHI
317,2067347100,CHI
318,2069227709,CHI
319,2011673487,CHI
320,2067373156,CHI
321,2067376873,CHI
322,2067390851,CHI
323,2069275995,CHI
324,2011719498,CHI
325,2067408648,CHI
326,2067409174,CHI
327,2069283477,CHI
328,2069286937,CHI
329,2067419459,CHI
330,2011737825,CHI
331,2069309808,CHI
332,2067439530,CHI
333,2011757138,CHI
334,2069316510,CHI
335,2011764024,CHI
336,2067456401,CHI
337,2069334210,CHI
338,2069341015,CHI
339,2067475991,CHI
340,2011805336,CHI
341,2011806061,CHI
342,2067499533,CHI
343,2069374368,CHI
344,2011824846,CHI
345,2069386905,CHI
346,2011828912,CHI
347,2067532283,CHI
348,2067534690,CHI
349,2067537687,CHI
350,2011853039,CHI
351,2067544199,CHI
352,2011858451,CHI
353,2069441445,CHI
354,2067580723,CHI
355,2069457729,CHI
356,2069457991,CHI
357,2011897039,CHI
358,2011899145,CHI
359,2067588984,CHI
360,2069465948,CHI
361,2067593147,CHI
362,2011907950,CHI
363,2069481271,CHI
364,2067615606,CHI
365,2069494974,CHI
366,2011942600,CHI
367,2011949753,CHI
368,2067644672,CHI
369,2067648228,CHI
370,2011959510,CHI
371,2069527335,CHI
372,2067663453,CHI
373,2069538469,CHI
