,mag_id,venue
121,1482509338,UBI
122,1483242741,UBI
123,1483971465,CSCW
124,1486439032,UBI
125,1487106649,UBI
126,1487264174,UBI
127,1487489356,UBI
128,1487989864,UBI
129,1489049736,CHI
130,1489244098,UBI
131,1489768987,CSCW
132,1490815532,UBI
133,1492201132,CHI
134,1492693995,UIST
135,1493372370,CHI
136,1493389503,UBI
137,1494307546,UBI
138,1494584265,UBI
139,1495523409,UBI
140,1495746971,UBI
141,1498809613,UIST
142,1500078695,UBI
143,1500292394,UBI
144,1500649415,UBI
145,1501882461,UBI
146,1502160825,UBI
147,1502534014,CHI
148,1502727414,UBI
149,1505228298,UBI
150,1505532142,CHI
151,1506455352,UBI
152,1507297365,UBI
153,1507878890,UBI
154,1508861723,UBI
155,1509037764,UBI
156,1509314188,CSCW
157,1516322043,UBI
158,1516704311,CSCW
159,1517053320,UIST
160,1519344828,UBI
161,1521536236,UBI
162,1522816040,CHI
163,1523940402,UBI
164,1524043790,UBI
165,1524574270,UBI
166,1524652962,UBI
167,1525248751,CHI
168,1525790791,UBI
169,1526140782,UBI
170,1526508319,CSCW
171,1527879314,UBI
172,1528192720,UBI
173,1528273618,UBI
174,1528406745,UBI
175,1528465057,CHI
176,1532369227,CSCW
177,1532431353,CSCW
178,1534268656,UBI
179,1535739127,UBI
180,1536815585,UBI
181,1537346517,UIST
182,1537509622,UBI
183,1538580225,CHI
184,1540190204,UIST
185,1540550017,UBI
186,1541130285,CHI
187,1541380988,UBI
188,1542067736,UBI
189,1542808325,CHI
190,1544612962,UBI
191,1545967542,UBI
192,1546638000,UBI
193,1546654781,UBI
194,1547971667,UBI
195,1549427446,UBI
196,1550321890,CHI
197,1551557556,UBI
198,1551965860,UBI
199,1553657860,UBI
200,1554035991,UBI
201,1555273736,UIST
202,1555358920,CHI
203,1555964504,UBI
204,1557479765,UBI
205,1558086644,UBI
206,1558141011,CHI
207,1558459496,UBI
208,1559270352,UBI
209,1559440445,UBI
210,1559983024,UBI
211,1560475083,UBI
212,1561394309,UIST
213,1563507813,UBI
214,1564631972,CHI
215,1564831185,UBI
216,1564953292,UBI
217,1565141760,CHI
218,1565980524,UBI
219,1571743527,CHI
220,1572117790,UBI
221,1572401826,UBI
222,1572765954,UBI
223,1572800817,UBI
224,1572915515,UBI
225,1573795705,UBI
226,1573845841,CSCW
227,1574133233,CHI
228,1575336654,UIST
229,1575597416,UBI
230,1576585551,UBI
231,1577401872,CSCW
232,1579406079,UBI
233,1579420825,UBI
234,1581022443,UBI
235,1581704206,UBI
236,1582646082,UBI
237,1583246006,UBI
238,1586249870,CHI
239,1588556181,UBI
240,1588679487,CHI
241,1589148362,UBI
242,1589268231,UBI
243,1590012886,UBI
244,1590697147,UBI
245,1591236165,UBI
246,1593595890,UBI
247,1593987667,UIST
248,1594917386,CHI
249,1595030361,CHI
250,1598429228,UBI
251,1598464535,UBI
252,1598627649,UBI
253,1601182683,UBI
254,1602199288,CHI
255,1602360307,UBI
256,1605093347,CHI
257,1605781965,UBI
258,1605798388,UBI
259,1606320148,UBI
260,1606600450,CSCW
261,1606626619,UBI
262,1607295284,UBI
263,1607319255,UBI
264,1608683114,CHI
