,patent_id,inventor_id,location_id
32,9571627,9571627-3,1070a0cc-bcff-47cb-ba62...
33,10103787,5428671-2,e05256ce-649a-4a7c-b9d...
34,8924144,5844901-2,541f6aa1-ad9c-4bd3-84db...
35,9071939,9071939-1,b25da496-aa42-4b2f-9836...
36,8037143,7227567-5,730bb9b9-f9b0-471c-a975...
37,9454603,6181996-3,3cea3177-1b46-48fc-8b9c...
38,9888390,8553965-2,0bc0c030-cadf-47b7-b8ef...
39,9519461,8731942-5,a80b27d1-29c7-4841-8f34...
40,9737798,8808089-1,25a2bf78-9411-427f-a8c9...
41,9898777,9271321-2,5fefdbbe-0bde-48af-af91...
42,7334665,6612404-2,98bb35b4-c460-41bd-b2a0...
43,8825511,6842751-2,f0377d24-c4b0-4141-b016...
44,8989053,8989053-3,8c8db4b5-6f5a-4fc6-8c92...
45,9507494,4525330-4,5e1d3075-2642-4d15-b47e...
46,8208850,5630080-6,b37e014e-e0fc-4aa8-be3a...
47,9880725,9798458-1,4f5e4429-aac1-4314-9beb...
48,8156337,7130998-1,85c0f856-c244-4688-86e1...
49,7693736,7693736-2,af23f635-b497-402c-8506...
50,10136619,7689387-2,ee2eea05-fc09-46be-8a5...
51,7613426,6064223-1,4e7797c1-b5d1-46c9-81a0...
52,8538404,7970757-1,c3821945-bbbd-402f-b4d4...
53,8255487,8243278-1,c12f8dfe-f580-4457-8b49...
54,9955914,7862581-3,497618aa-f14a-4873-8c7a...
55,7483944,6327535-2,12b17a94-8083-414d-864b...
56,10026169,10026169-1,65c36ea8-48bf-4a12-81...
57,8903451,6925239-1,9eff86d4-9061-4efd-a7b3...
58,7818017,7474897-4,bed060d4-da7c-42b7-8b31...
