paperid	confid
2157801514	1163450153
2157829401	1163450153
2157841038	1163450153
2157861773	1163450153
2157922094	1163450153
2157947054	1163450153
2157973822	1163450153
2157987115	1163450153
2157988746	1163450153
2158001129	1163450153
2158006245	1163450153
2158035776	1163450153
2158110856	1163450153
2158179454	1163450153
2158231614	1163450153
2158246988	1163450153
2158283206	1163450153
2158318240	1163450153
2158321038	1163450153
2158325852	1163450153
2158364723	1163450153
2158391167	1163450153
2158422009	1163450153
2158428237	1163450153
2158447593	1163450153
2158508294	1163450153
2158519170	1163450153
2158520077	1163450153
2158523638	1163450153
2158525073	1163450153
2158539604	1163450153
2158541982	1163450153
2158654373	1163450153
2158654851	1163450153
2158665660	1163450153
2158668490	1163450153
2158704040	1163450153
2158750417	1163450153
2158757185	1163450153
2158847891	1163450153
2158853398	1163450153
2158873581	1163450153
2158878127	1163450153
2158882008	1163450153
2158892938	1163450153
2158929368	1163450153
2158930584	1163450153
2158930783	1163450153
2158959881	1163450153
2158967736	1163450153
2159001017	1163450153
2159034853	1163450153
2159048414	1163450153
2159049592	1163450153
2159051079	1163450153
2159099779	1163450153
2159113477	1163450153
2159190202	1163450153
2159241535	1163450153
2159241889	1163450153
2159247125	1163450153
2159262688	1163450153
2159263269	1163450153
2159332488	1163450153
2159361351	1163450153
2159423430	1163450153
2159438348	1163450153
2159456281	1163450153
2159486352	1163450153
2159502826	1163450153
2159513729	1163450153
2159514065	1163450153
2159536175	1163450153
2159547148	1163450153
2159672765	1163450153
2159706207	1163450153
2159710437	1163450153
2159730225	1163450153
2159741202	1163450153
2159792176	1163450153
2159837114	1163450153
2159852449	1163450153
2159913532	1163450153
2159918880	1163450153
2159923775	1163450153
2159981190	1163450153
2160043433	1163450153
2160046057	1163450153
2160046323	1163450153
2160049071	1163450153
2160056280	1163450153
2160098390	1163450153
2160110841	1163450153
2160121516	1163450153
2160126420	1163450153
2160135951	1163450153
2160180108	1163450153
2160188431	1163450153
564291888	1163450153
2432261168	1163450153
2068900583	1163450153
2067027018	1163450153
2011350558	1163450153
2067034854	1163450153
2068913112	1163450153
2068926364	1163450153
2011369055	1163450153
2067061116	1163450153
2067081005	1163450153
2067091994	1163450153
2067093315	1163450153
2067093318	1163450153
2011411291	1163450153
2067099322	1163450153
2068974416	1163450153
2067099887	1163450153
2011422734	1163450153
2068985162	1163450153
2011429036	1163450153
2011433150	1163450153
2011442434	1163450153
2067128073	1163450153
2468118343	1163450153
2011453344	1163450153
2069013586	1163450153
2067141523	1163450153
2067166260	1163450153
2011492755	1163450153
2067177358	1163450153
2067178114	1163450153
2067184204	1163450153
2011506639	1163450153
2067206652	1163450153
2011526384	1163450153
2067211264	1163450153
2011531676	1163450153
2069090625	1163450153
2069091827	1163450153
2069103342	1163450153
2069106458	1163450153
2069108338	1163450153
2011553671	1163450153
2011561069	1163450153
2069119678	1163450153
2011562461	1163450153
2011583832	1163450153
2011588047	1163450153
2069148240	1163450153
2067285359	1163450153
2011601440	1163450153
2067297624	1163450153
2067302566	1163450153
2069176986	1163450153
2067310449	1163450153
2067316939	1163450153
2067319050	1163450153
2067319386	1163450153
2069194751	1163450153
2067329295	1163450153
2067336316	1163450153
2011650305	1163450153
2011656549	1163450153
2067344455	1163450153
2067347100	1163450153
2069227709	1163450153
2011673487	1163450153
2067373156	1163450153
2011687022	1163450153
2067376873	1163450153
2067390851	1163450153
2069275995	1163450153
2011719498	1163450153
2067408648	1163450153
2067409174	1163450153
2069283477	1163450153
2069286937	1163450153
2067419459	1163450153
2011737825	1163450153
2069309808	1163450153
2067439530	1163450153
2011757138	1163450153
2069316510	1163450153
2011764024	1163450153
2067456401	1163450153
2069334210	1163450153
2069341015	1163450153
2067475991	1163450153
2011805336	1163450153
2011806061	1163450153
2067499533	1163450153
2069374368	1163450153
2011824846	1163450153
2069386905	1163450153
2011828912	1163450153
2067532283	1163450153
2067532427	1163450153
2067534690	1163450153
2067537687	1163450153
2011853039	1163450153
2067544199	1163450153
2011858451	1163450153
2069441445	1163450153
2067580723	1163450153
2069457729	1163450153
2069457991	1163450153
2011897039	1163450153
2011899145	1163450153
2067588984	1163450153
2069465948	1163450153
2067593147	1163450153
